month,reservation_count,month_in_sem,is_exam,is_finals,is_sem_start,is_summer,working_days
2024-01-01,2,1,0,0,1,0,23
2024-02-01,0,2,1,0,0,0,21
2024-03-01,5,3,0,0,0,0,21
2024-04-01,13,4,0,1,0,0,22
2024-05-01,9,5,0,1,0,0,23
2024-06-01,3,1,0,0,1,1,20
2024-07-01,8,2,0,0,0,1,23
2024-08-01,21,1,0,0,1,0,22
2024-09-01,19,2,1,0,0,0,21
2024-10-01,17,3,0,0,0,0,23
2024-11-01,10,4,0,1,0,0,21
2024-12-01,10,5,0,1,0,0,22
2025-01-01,4,1,0,0,1,0,23
2025-02-01,17,2,1,0,0,0,20
2025-03-01,23,3,0,0,0,0,21
2025-04-01,16,4,0,1,0,0,22
2025-05-01,7,5,0,1,0,0,22
2025-06-01,6,1,0,0,1,1,21
2025-07-01,9,2,0,0,0,1,23
2025-08-01,8,1,0,0,1,0,21
2025-09-01,21,2,1,0,0,0,22
2025-10-01,13,3,0,0,0,0,23
2025-11-01,8,4,0,1,0,0,20
2025-12-01,7,5,0,1,0,0,23
2026-01-01,15,1,0,0,1,0,22
2026-02-01,13,2,1,0,0,0,20
2026-03-01,10,3,0,0,0,0,22
